FY,APD,Fund_Code,Fund_Name,Dept_Code,Department,Div_Code,Division,Unit_Code,Cost_Center,Obj_Type_Code,Obj_Type_Name,Obj_Cat_Code,Expenditure_Category,Obj_Class_Code,Obj_Class_Name,Obj_Code,Expenditure_Line_Item,Record_Date,Check_Number,Document_ID,Budgeted_Amount,Actual_Amount,Quarter
2023,6,1000,General Fund,46,Health and Human Services,4675,Administration and Operations,702H,Organizational Development,3000,Other,3100,Supplies / Materials,3160,Other Supplies,3134,OTHER SUPPLIES AND MATERIALS,2023-01-06,,"WCDE,46,2023010600000369",20000.0,,2023 Q1
2023,6,1000,General Fund,46,Health and Human Services,4675,Administration and Operations,702H,Organizational Development,3000,Other,3700,Rental & Maint. Of Property,3720,Equipment / Maint. & Repair,3714,MAINTENANCE AND REPAIR OF EQUIPMENT,2023-01-06,,"WCDE,46,2023010600000369",800.0,,2023 Q1
2023,6,1000,General Fund,46,Health and Human Services,4675,Administration and Operations,702H,Organizational Development,3000,Other,3700,Rental & Maint. Of Property,3720,Equipment / Maint. & Repair,3727,Labor for Purchased Goods,2023-01-06,,"WCDE,46,2023010600000369",950.0,,2023 Q1
2023,6,1000,General Fund,46,Health and Human Services,4675,Administration and Operations,702H,Organizational Development,3000,Other,3700,Rental & Maint. Of Property,3720,Equipment / Maint. & Repair,3729,"Office Furniture < $5,000",2023-01-06,,"WCDE,46,2023010600000369",15020.0,,2023 Q1
2023,6,1000,General Fund,46,Health and Human Services,4675,Administration and Operations,703H,Customer Service/Call Center,2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2144,Purchased Services Contracts,2023-01-06,,"WCDE,46,2023010600000370",1528.0,,2023 Q1
2023,6,1000,General Fund,46,Health and Human Services,4675,Administration and Operations,703H,Customer Service/Call Center,2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2406,CONTRACTED SERVICES,2023-01-06,,"WCDE,46,2023010600000370",686.0,,2023 Q1
2023,6,1000,General Fund,46,Health and Human Services,4675,Administration and Operations,703H,Customer Service/Call Center,3000,Other,3100,Supplies / Materials,3120,Computer / Software Supplies,3108,Computer Equipment,2023-01-06,,"WCDE,46,2023010600000370",525.0,,2023 Q1
2023,6,1000,General Fund,46,Health and Human Services,4675,Administration and Operations,703H,Customer Service/Call Center,3000,Other,4600,Dues & Subscriptions,4610,Dues,4602,DUES,2023-01-06,,"WCDE,46,2023010600000370",270.0,,2023 Q1
2023,6,1000,General Fund,46,Health and Human Services,4675,Administration and Operations,703H,Customer Service/Call Center,3000,Other,4600,Dues & Subscriptions,4620,Subscriptions,4606,MEMBERSHIPS,2023-01-06,,"WCDE,46,2023010600000370",-270.0,,2023 Q1
2023,6,1000,General Fund,46,Health and Human Services,4675,Administration and Operations,706H,Staff Recruitment/Retention,2000,Contractual Services,2100,Contractual Services,2130,Temporary Personnel Services,2104,TEMPORARY AGENCY SERVICES,2023-01-06,,"WCDE,46,2023010600000371",-3682.0,,2023 Q1
2023,6,1000,General Fund,46,Health and Human Services,4675,Administration and Operations,706H,Staff Recruitment/Retention,3000,Other,3100,Supplies / Materials,3140,Food and Provisions,3158,Food - Other,2023-01-06,,"WCDE,46,2023010600000371",2000.0,,2023 Q1
2023,6,1000,General Fund,46,Health and Human Services,4675,Administration and Operations,706H,Staff Recruitment/Retention,3000,Other,3100,Supplies / Materials,3150,Office Supplies,3129,XEROX/DUPLICATING/PRINTING SUPPLIES,2023-01-06,,"WCDE,46,2023010600000371",-1630.0,,2023 Q1
2023,6,1000,General Fund,46,Health and Human Services,4675,Administration and Operations,706H,Staff Recruitment/Retention,3000,Other,3300,Travel / Training,3320,Employee Training,3303,CONFERENCE/TRAINING REGISTRATION,2023-01-06,,"WCDE,46,2023010600000371",225.0,,2023 Q1
2023,6,1000,General Fund,46,Health and Human Services,4675,Administration and Operations,706H,Staff Recruitment/Retention,3000,Other,3300,Travel / Training,3350,Mileage Reimbursement,3308,MILEAGE REIMBURSEMENT,2023-01-06,,"WCDE,46,2023010600000371",-500.0,,2023 Q1
